step,energy
0,-545.7387078429673
1,-546.2459066669591
2,-546.6070836644082
3,-546.9782308477727
4,-547.3060812351808
5,-547.521448468984
6,-547.6412222723364
7,-547.7044517095959
8,-547.7384075894869
9,-547.7579879641562
10,-547.7702481886054
11,-547.7784404615202
12,-547.7841459769088
13,-547.7882121059022
14,-547.7911436813445
15,-547.7932685177178
16,-547.7948118716513
17,-547.7959335294516
18,-547.7967486501005
19,-547.797340816429
20,-547.7977708507788
21,-547.7980830361527
22,-547.7983096028569
23,-547.7984739943363
24,-547.7985932516406
25,-547.798679754788
26,-547.7987424933954
27,-547.7987879927513
28,-547.7988209880161
29,-547.7988449145818
30,-547.7988622644525
31,-547.7988748450922
32,-547.7988839673503
33,-547.7988905818506
34,-547.7988953779488
35,-547.7988988555236
36,-547.7989013770472
37,-547.79890320535
38,-547.7989045310102
39,-547.7989054922142
40,-547.7989061891592
41,-547.7989066944963
42,-547.7989070609026
43,-547.7989073265741
44,-547.7989075192058
45,-547.7989076588773
46,-547.7989077601497
47,-547.7989078335794
48,-547.7989078868213
49,-547.7989079254259
50,-547.7989079534168
51,-547.798907973712
52,-547.7989079884277
53,-547.7989079990977
54,-547.7989080068343
55,-547.7989080124436
56,-547.7989080165111
57,-547.79890801946
58,-547.7989080215981
59,-547.7989080231489
60,-547.7989080242727
61,-547.7989080250879
62,-547.798908025679
63,-547.7989080261075
64,-547.7989080264182
65,-547.7989080266434
66,-547.7989080268069
67,-547.7989080269253
68,-547.7989080270111
69,-547.7989080270736
70,-547.7989080271185
71,-547.7989080271511
72,-547.798908027175
73,-547.7989080271925
74,-547.7989080272048
75,-547.7989080272138
76,-547.7989080272206
77,-547.7989080272251
78,-547.7989080272284
79,-547.798908027231
80,-547.798908027233
81,-547.798908027234
82,-547.798908027235
83,-547.7989080272357
84,-547.7989080272365
85,-547.7989080272366
86,-547.798908027237
87,-547.7989080272372
88,-547.7989080272371
89,-547.7989080272371
90,-547.7989080272372
91,-547.7989080272374
92,-547.7989080272378
93,-547.7989080272375
94,-547.7989080272375
95,-547.7989080272376
96,-547.7989080272376
97,-547.7989080272378
98,-547.7989080272376
99,-547.7989080272376
100,-547.7989080272375
101,-547.798908027238
102,-547.7989080272378
103,-547.7989080272376
104,-547.7989080272375
105,-547.7989080272375
106,-547.7989080272374
107,-547.7989080272378
108,-547.7989080272378
109,-547.7989080272376
110,-547.7989080272376
111,-547.7989080272376
112,-547.7989080272374
113,-547.7989080272375
114,-547.7989080272378
115,-547.7989080272378
116,-547.7989080272378
117,-547.7989080272375
118,-547.7989080272375
119,-547.7989080272378
120,-547.7989080272376
121,-547.7989080272375
122,-547.7989080272375
123,-547.7989080272375
124,-547.7989080272378
125,-547.7989080272378
126,-547.7989080272375
127,-547.7989080272375
128,-547.7989080272376
129,-547.7989080272375
130,-547.7989080272375
131,-547.7989080272375
132,-547.7989080272376
133,-547.7989080272375
134,-547.7989080272378
135,-547.7989080272375
136,-547.7989080272376
137,-547.7989080272375
138,-547.7989080272375
139,-547.7989080272376
140,-547.7989080272378
141,-547.7989080272376
142,-547.7989080272374
143,-547.7989080272375
144,-547.7989080272376
145,-547.7989080272375
146,-547.7989080272375
147,-547.7989080272376
148,-547.7989080272378
149,-547.798908027238
150,-547.7989080272376
151,-547.7989080272375
152,-547.7989080272375
153,-547.7989080272378
154,-547.7989080272375
155,-547.7989080272378
156,-547.7989080272379
157,-547.7989080272376
158,-547.7989080272378
159,-547.798908027238
160,-547.7989080272378
161,-547.7989080272375
162,-547.7989080272379
163,-547.798908027238
164,-547.7989080272378
165,-547.7989080272379
166,-547.7989080272375
167,-547.7989080272375
168,-547.7989080272375
169,-547.7989080272375
170,-547.7989080272375
171,-547.7989080272376
172,-547.7989080272378
173,-547.7989080272375
174,-547.7989080272375
175,-547.798908027238
176,-547.7989080272379
177,-547.7989080272379
178,-547.7989080272375
179,-547.7989080272375
180,-547.7989080272378
181,-547.7989080272376
182,-547.7989080272378
183,-547.7989080272376
184,-547.7989080272376
185,-547.7989080272378
186,-547.7989080272376
187,-547.7989080272375
188,-547.7989080272378
189,-547.7989080272378
190,-547.7989080272375
191,-547.7989080272374
192,-547.7989080272376
193,-547.7989080272378
194,-547.7989080272378
195,-547.7989080272376
196,-547.7989080272376
197,-547.7989080272376
198,-547.7989080272378
199,-547.7989080272376
200,-547.7989080272375
201,-547.7989080272375
202,-547.7989080272375
203,-547.7989080272378
204,-547.7989080272379
205,-547.7989080272378
206,-547.7989080272375
207,-547.7989080272379
208,-547.7989080272378
209,-547.7989080272375
210,-547.7989080272375
211,-547.7989080272376
212,-547.7989080272376
213,-547.7989080272374
214,-547.7989080272375
215,-547.7989080272375
216,-547.7989080272378
217,-547.7989080272375
218,-547.7989080272376
219,-547.7989080272376
220,-547.7989080272378
221,-547.7989080272375
222,-547.7989080272376
223,-547.7989080272379
224,-547.7989080272376
225,-547.7989080272378
226,-547.7989080272379
227,-547.7989080272379
228,-547.7989080272376
229,-547.7989080272374
230,-547.7989080272376
231,-547.7989080272378
232,-547.7989080272375
233,-547.7989080272374
234,-547.7989080272376
235,-547.7989080272375
236,-547.7989080272375
237,-547.7989080272378
238,-547.7989080272378
239,-547.7989080272375
240,-547.7989080272375
241,-547.7989080272378
242,-547.7989080272375
243,-547.7989080272375
244,-547.7989080272376
245,-547.7989080272376
246,-547.7989080272375
247,-547.7989080272375
248,-547.7989080272378
249,-547.7989080272375
250,-547.7989080272375
251,-547.7989080272378
252,-547.7989080272378
253,-547.7989080272379
254,-547.7989080272376
255,-547.7989080272379
256,-547.7989080272376
257,-547.7989080272375
258,-547.7989080272376
259,-547.7989080272375
260,-547.7989080272375
261,-547.7989080272378
262,-547.7989080272376
263,-547.7989080272376
264,-547.7989080272376
265,-547.7989080272375
266,-547.7989080272374
267,-547.7989080272376
268,-547.7989080272375
269,-547.7989080272375
270,-547.7989080272376
271,-547.7989080272379
272,-547.7989080272375
273,-547.7989080272374
274,-547.7989080272375
275,-547.7989080272376
276,-547.7989080272374
277,-547.798908027238
278,-547.7989080272375
279,-547.7989080272375
280,-547.7989080272375
281,-547.7989080272373
282,-547.7989080272379
283,-547.7989080272373
284,-547.7989080272376
285,-547.7989080272378
286,-547.7989080272378
287,-547.7989080272376
288,-547.7989080272374
289,-547.7989080272375
290,-547.7989080272375
291,-547.7989080272378
292,-547.7989080272379
293,-547.7989080272376
294,-547.7989080272375
295,-547.7989080272375
296,-547.7989080272375
297,-547.7989080272375
298,-547.7989080272376
299,-547.7989080272376
300,-547.7989080272379
301,-547.7989080272376
302,-547.7989080272378
303,-547.7989080272378
304,-547.7989080272376
305,-547.7989080272378
306,-547.7989080272375
307,-547.7989080272374
308,-547.7989080272376
309,-547.7989080272375
310,-547.7989080272378
311,-547.7989080272376
312,-547.7989080272376
313,-547.7989080272375
314,-547.7989080272376
315,-547.7989080272375
316,-547.7989080272374
317,-547.7989080272375
318,-547.7989080272379
319,-547.7989080272378
320,-547.7989080272378
321,-547.7989080272375
322,-547.7989080272379
323,-547.7989080272375
324,-547.7989080272375
325,-547.7989080272376
326,-547.7989080272376
327,-547.7989080272374
328,-547.7989080272376
329,-547.7989080272378
330,-547.7989080272378
331,-547.7989080272375
332,-547.7989080272375
333,-547.7989080272378
334,-547.7989080272375
335,-547.7989080272378
336,-547.7989080272378
337,-547.7989080272379
338,-547.7989080272378
339,-547.7989080272376
340,-547.7989080272375
341,-547.7989080272376
342,-547.7989080272375
343,-547.7989080272378
344,-547.7989080272376
345,-547.7989080272375
346,-547.7989080272376
347,-547.7989080272378
348,-547.7989080272379
349,-547.7989080272375
350,-547.7989080272375
351,-547.7989080272376
352,-547.7989080272378
353,-547.7989080272378
354,-547.798908027238
355,-547.7989080272378
356,-547.7989080272376
357,-547.7989080272376
358,-547.7989080272374
359,-547.7989080272378
360,-547.7989080272378
361,-547.7989080272376
362,-547.7989080272376
363,-547.7989080272378
364,-547.7989080272375
365,-547.7989080272378
366,-547.7989080272376
367,-547.7989080272375
368,-547.7989080272375
369,-547.7989080272374
370,-547.7989080272378
371,-547.7989080272376
372,-547.7989080272375
373,-547.7989080272379
374,-547.7989080272375
375,-547.7989080272373
376,-547.7989080272378
377,-547.7989080272375
378,-547.7989080272376
379,-547.7989080272376
380,-547.7989080272378
381,-547.7989080272379
382,-547.7989080272375
383,-547.798908027238
384,-547.7989080272375
385,-547.7989080272378
386,-547.7989080272376
387,-547.798908027238
388,-547.7989080272376
389,-547.7989080272379
390,-547.7989080272375
391,-547.7989080272376
392,-547.7989080272375
393,-547.7989080272375
394,-547.7989080272375
395,-547.7989080272376
396,-547.7989080272378
397,-547.7989080272378
398,-547.7989080272376
399,-547.7989080272378
400,-547.7989080272376
401,-547.7989080272375
402,-547.7989080272378
403,-547.7989080272375
404,-547.7989080272374
405,-547.7989080272378
406,-547.7989080272378
407,-547.7989080272378
408,-547.7989080272375
409,-547.7989080272376
410,-547.7989080272374
411,-547.7989080272376
412,-547.7989080272374
413,-547.7989080272375
414,-547.7989080272375
415,-547.798908027238
416,-547.7989080272378
417,-547.7989080272376
418,-547.7989080272376
419,-547.7989080272375
420,-547.7989080272375
421,-547.7989080272376
422,-547.7989080272378
423,-547.7989080272378
424,-547.7989080272374
425,-547.7989080272375
426,-547.7989080272376
427,-547.7989080272378
428,-547.7989080272378
429,-547.7989080272374
430,-547.7989080272375
431,-547.7989080272378
432,-547.7989080272375
433,-547.7989080272376
434,-547.7989080272376
435,-547.7989080272376
436,-547.7989080272375
437,-547.7989080272373
438,-547.7989080272378
439,-547.7989080272373
440,-547.7989080272374
441,-547.7989080272375
442,-547.7989080272375
443,-547.7989080272375
444,-547.7989080272378
445,-547.7989080272375
446,-547.7989080272373
447,-547.7989080272376
448,-547.7989080272373
449,-547.7989080272379
450,-547.7989080272379
451,-547.7989080272378
452,-547.7989080272376
453,-547.798908027238
454,-547.7989080272374
455,-547.7989080272378
456,-547.7989080272374
457,-547.7989080272373
458,-547.7989080272375
459,-547.7989080272375
460,-547.798908027238
461,-547.7989080272375
462,-547.7989080272373
463,-547.7989080272374
464,-547.7989080272375
465,-547.7989080272378
466,-547.7989080272378
467,-547.7989080272374
468,-547.7989080272375
469,-547.7989080272376
470,-547.7989080272378
471,-547.7989080272378
472,-547.7989080272375
473,-547.7989080272375
474,-547.7989080272378
475,-547.7989080272376
476,-547.7989080272378
477,-547.7989080272375
478,-547.7989080272376
479,-547.7989080272378
480,-547.7989080272376
481,-547.7989080272376
482,-547.7989080272378
483,-547.7989080272375
484,-547.7989080272376
485,-547.7989080272379
486,-547.7989080272378
487,-547.7989080272376
488,-547.7989080272374
489,-547.7989080272378
490,-547.7989080272376
491,-547.7989080272378
492,-547.7989080272376
493,-547.7989080272374
494,-547.7989080272375
495,-547.7989080272378
496,-547.7989080272374
497,-547.7989080272375
498,-547.7989080272378
499,-547.7989080272376
500,-547.7989080272376
501,-547.7989080272376
502,-547.7989080272378
503,-547.7989080272376
504,-547.7989080272378
505,-547.7989080272378
506,-547.7989080272378
507,-547.7989080272375
508,-547.7989080272378
509,-547.7989080272376
510,-547.7989080272379
511,-547.7989080272376
512,-547.7989080272378
513,-547.7989080272378
514,-547.7989080272375
515,-547.7989080272375
516,-547.7989080272378
517,-547.798908027238
518,-547.798908027238
519,-547.7989080272379
520,-547.7989080272376
521,-547.7989080272378
522,-547.7989080272375
523,-547.7989080272376
524,-547.7989080272378
525,-547.7989080272376
526,-547.7989080272378
527,-547.7989080272378
528,-547.7989080272375
529,-547.7989080272375
530,-547.7989080272378
531,-547.7989080272376
532,-547.7989080272378
533,-547.7989080272375
534,-547.7989080272374
535,-547.7989080272376
536,-547.7989080272375
537,-547.7989080272376
538,-547.7989080272375
539,-547.7989080272376
540,-547.7989080272375
541,-547.7989080272376
542,-547.7989080272375
543,-547.7989080272379
544,-547.7989080272375
545,-547.7989080272378
546,-547.7989080272378
547,-547.7989080272376
548,-547.7989080272373
549,-547.7989080272375
550,-547.7989080272375
551,-547.7989080272375
552,-547.7989080272376
553,-547.7989080272375
554,-547.7989080272374
555,-547.7989080272374
556,-547.7989080272379
557,-547.7989080272375
558,-547.7989080272376
559,-547.7989080272375
560,-547.7989080272375
561,-547.7989080272376
562,-547.7989080272378
563,-547.7989080272378
564,-547.7989080272373
565,-547.7989080272378
566,-547.7989080272378
567,-547.7989080272375
568,-547.7989080272378
569,-547.7989080272375
570,-547.7989080272375
571,-547.7989080272376
572,-547.7989080272376
573,-547.7989080272375
574,-547.7989080272379
575,-547.7989080272378
576,-547.7989080272378
577,-547.7989080272376
578,-547.7989080272378
579,-547.7989080272376
580,-547.7989080272375
581,-547.7989080272379
582,-547.7989080272376
583,-547.7989080272375
584,-547.7989080272378
585,-547.7989080272379
586,-547.7989080272375
587,-547.7989080272375
588,-547.7989080272379
589,-547.7989080272378
590,-547.7989080272378
591,-547.7989080272378
592,-547.7989080272373
593,-547.7989080272376
594,-547.7989080272378
595,-547.7989080272376
596,-547.7989080272378
597,-547.7989080272375
598,-547.7989080272374
599,-547.7989080272375
600,-547.7989080272375
601,-547.7989080272375
602,-547.7989080272376
603,-547.7989080272376
604,-547.798908027238
605,-547.7989080272375
606,-547.7989080272376
607,-547.7989080272378
608,-547.7989080272378
609,-547.7989080272375
610,-547.7989080272376
611,-547.7989080272378
612,-547.7989080272378
613,-547.7989080272375
614,-547.7989080272375
615,-547.7989080272375
616,-547.7989080272378
617,-547.7989080272378
618,-547.7989080272376
619,-547.7989080272376
620,-547.7989080272376
621,-547.7989080272376
622,-547.7989080272378
623,-547.798908027238
624,-547.7989080272376
625,-547.7989080272376
626,-547.7989080272378
627,-547.7989080272376
628,-547.7989080272375
629,-547.7989080272378
630,-547.7989080272378
631,-547.7989080272376
632,-547.7989080272376
633,-547.7989080272375
634,-547.7989080272376
635,-547.7989080272375
636,-547.798908027238
637,-547.7989080272376
638,-547.7989080272375
639,-547.7989080272376
640,-547.7989080272375
641,-547.7989080272375
642,-547.7989080272378
643,-547.7989080272376
644,-547.7989080272376
645,-547.7989080272378
646,-547.7989080272376
647,-547.7989080272375
648,-547.7989080272375
649,-547.7989080272375
650,-547.7989080272376
651,-547.7989080272378
652,-547.7989080272376
653,-547.7989080272375
654,-547.7989080272376
655,-547.7989080272376
656,-547.7989080272374
657,-547.7989080272376
658,-547.7989080272378
659,-547.7989080272378
660,-547.7989080272375
661,-547.798908027238
662,-547.7989080272378
663,-547.7989080272374
664,-547.7989080272375
665,-547.7989080272376
666,-547.7989080272378
667,-547.7989080272376
668,-547.7989080272376
669,-547.7989080272375
670,-547.7989080272378
671,-547.7989080272375
672,-547.7989080272374
673,-547.7989080272375
674,-547.7989080272376
675,-547.7989080272375
676,-547.7989080272378
677,-547.7989080272378
678,-547.7989080272378
679,-547.7989080272376
680,-547.7989080272376
681,-547.7989080272375
682,-547.7989080272375
683,-547.7989080272378
684,-547.7989080272378
685,-547.7989080272378
686,-547.7989080272378
687,-547.7989080272379
688,-547.7989080272379
689,-547.7989080272376
690,-547.798908027238
691,-547.7989080272378
692,-547.7989080272376
693,-547.7989080272378
694,-547.7989080272379
695,-547.7989080272378
696,-547.7989080272378
697,-547.7989080272375
698,-547.7989080272375
699,-547.7989080272376
700,-547.7989080272375
701,-547.7989080272373
702,-547.7989080272374
703,-547.7989080272375
704,-547.7989080272375
705,-547.7989080272376
706,-547.7989080272378
707,-547.7989080272375
708,-547.7989080272375
709,-547.7989080272376
710,-547.7989080272376
711,-547.7989080272376
712,-547.7989080272375
713,-547.7989080272376
714,-547.7989080272374
715,-547.7989080272374
716,-547.7989080272375
717,-547.7989080272378
718,-547.7989080272376
719,-547.7989080272376
720,-547.7989080272376
721,-547.7989080272376
722,-547.7989080272378
723,-547.7989080272374
724,-547.7989080272374
725,-547.7989080272375
726,-547.7989080272374
727,-547.7989080272375
728,-547.7989080272376
729,-547.7989080272375
730,-547.7989080272374
731,-547.7989080272378
732,-547.7989080272375
733,-547.7989080272375
734,-547.7989080272375
735,-547.7989080272379
736,-547.7989080272375
737,-547.7989080272373
738,-547.7989080272375
739,-547.7989080272376
740,-547.7989080272375
741,-547.798908027238
742,-547.7989080272378
743,-547.7989080272376
744,-547.7989080272376
745,-547.7989080272378
746,-547.7989080272378
747,-547.7989080272375
748,-547.7989080272379
749,-547.798908027238
750,-547.7989080272378
751,-547.7989080272378
752,-547.7989080272375
753,-547.7989080272376
754,-547.7989080272378
755,-547.7989080272375
756,-547.7989080272376
757,-547.7989080272375
758,-547.7989080272375
759,-547.7989080272375
760,-547.7989080272376
761,-547.7989080272375
762,-547.7989080272378
763,-547.7989080272376
764,-547.7989080272374
765,-547.7989080272378
766,-547.7989080272375
767,-547.7989080272378
768,-547.7989080272375
769,-547.7989080272375
770,-547.7989080272376
771,-547.7989080272376
772,-547.7989080272378
773,-547.7989080272375
774,-547.7989080272375
