step,energy
0,-545.8374162614485
1,-545.9809708473268
2,-546.0778004185306
3,-546.1529124780463
4,-546.2151136441964
5,-546.2675396332833
6,-546.3125270403862
7,-546.352591444
8,-546.3902953065475
9,-546.4280077848875
10,-546.4677334062162
11,-546.5109681489763
12,-546.558548385706
13,-546.6105135633529
14,-546.6660446118323
15,-546.7235423851095
16,-546.7808704769589
17,-546.835724708743
18,-546.8860388318271
19,-546.930316090519
20,-546.9677993265664
21,-546.998452572349
22,-547.0227966814103
23,-547.0416824142166
24,-547.0560794986094
25,-547.0669254544326
26,-547.0750415660353
27,-547.0811019174918
28,-547.0856355737473
29,-547.0890450975019
30,-547.091630338927
31,-547.093611495671
32,-547.0951488527593
33,-547.0963585447453
34,-547.0973246099733
35,-547.0981079532078
36,-547.0987528856218
37,-547.0992918377693
38,-547.0997487286703
39,-547.1001413627471
40,-547.1004831313634
41,-547.1007842205971
42,-547.1010524700218
43,-547.1012939854149
44,-547.1015135780644
45,-547.101715081798
46,-547.1019015835394
47,-547.1020755925424
48,-547.1022391658641
49,-547.1023940024669
50,-547.1025415146096
51,-547.1026828826822
52,-547.1028190978441
53,-547.1029509955703
54,-547.103079282342
55,-547.1032045571172
56,-547.1033273287566
57,-547.1034480302977
58,-547.1035670307243
59,-547.1036846447424
60,-547.1038011409416
61,-547.1039167486388
62,-547.1040316636387
63,-547.1041460531034
64,-547.1042600596751
65,-547.1043738049702
66,-547.104487392562
67,-547.1046009105077
68,-547.1047144335128
69,-547.104828024774
70,-547.1049417375557
71,-547.1050556165375
72,-547.105169698968
73,-547.1052840156499
74,-547.1053985917907
75,-547.1055134477235
76,-547.1056285995323
77,-547.105744059586
78,-547.1058598369963
79,-547.1059759380148
80,-547.10609236637
81,-547.1062091235613
82,-547.1063262091097
83,-547.106443620776
84,-547.106561354751
85,-547.1066794058121
86,-547.10679776747
87,-547.1069164320867
88,-547.107035390986
89,-547.1071546345391
90,-547.1072741522556
91,-547.1073939328436
92,-547.1075139642809
93,-547.1076342338633
94,-547.107754728259
95,-547.1078754335477
96,-547.107996335263
97,-547.1081174184247
98,-547.1082386675727
99,-547.1083600667943
100,-547.1084815997549
101,-547.1086032497152
102,-547.1087249995634
103,-547.1088468318299
104,-547.1089687287118
105,-547.1090906720913
106,-547.1092126435551
107,-547.1093346244127
108,-547.109456595713
109,-547.109578538266
110,-547.1097004326548
111,-547.1098222592542
112,-547.1099439982536
113,-547.1100656296647
114,-547.1101871333448
115,-547.1103084890093
116,-547.110429676255
117,-547.1105506745703
118,-547.1106714633572
119,-547.1107920219438
120,-547.110912329609
121,-547.1110323655917
122,-547.1111521091129
123,-547.1112715393948
124,-547.1113906356718
125,-547.1115093772149
126,-547.1116277433468
127,-547.1117457134615
128,-547.1118632670376
129,-547.1119803836611
130,-547.1120970430394
131,-547.1122132250232
132,-547.1123289096199
133,-547.112444077012
134,-547.1125587075763
135,-547.1126727819006
136,-547.1127862808004
137,-547.1128991853329
138,-547.1130114768167
139,-547.1131231368493
140,-547.1132341473187
141,-547.1133444904209
142,-547.1134541486773
143,-547.1135631049455
144,-547.113671342437
145,-547.1137788447272
146,-547.1138855957734
147,-547.113991579925
148,-547.1140967819358
149,-547.1142011869764
150,-547.1143047806453
151,-547.1144075489794
152,-547.1145094784645
153,-547.1146105560429
154,-547.114710769125
155,-547.1148101055967
156,-547.1149085538219
157,-547.1150061026588
158,-547.1151027414554
159,-547.1151984600634
160,-547.1152932488365
161,-547.1153870986407
162,-547.11548000085
163,-547.115571947356
164,-547.1156629305638
165,-547.1157529433997
166,-547.1158419793036
167,-547.115930032237
168,-547.1160170966755
169,-547.116103167612
170,-547.1161882405507
171,-547.1162723115054
172,-547.1163553769985
173,-547.1164374340553
174,-547.1165184801966
175,-547.1165985134385
176,-547.116677532282
177,-547.1167555357099
178,-547.1168325231789
179,-547.1169084946112
180,-547.1169834503879
181,-547.1170573913431
182,-547.1171303187493
183,-547.1172022343153
184,-547.1172731401706
185,-547.117343038861
186,-547.1174119333363
187,-547.1174798269379
188,-547.1175467233916
189,-547.1176126267975
190,-547.1176775416146
191,-547.1177414726536
192,-547.1178044250629
193,-547.1178664043206
194,-547.1179274162182
195,-547.117987466853
196,-547.1180465626162
197,-547.1181047101782
198,-547.1181619164771
199,-547.1182181887126
200,-547.1182735343255
201,-547.1183279609933
202,-547.1183814766147
203,-547.1184340893002
204,-547.1184858073577
205,-547.1185366392838
206,-547.1185865937515
207,-547.1186356795994
208,-547.1186839058203
209,-547.1187312815518
210,-547.118777816062
211,-547.1188235187452
212,-547.1188683991047
213,-547.1189124667487
214,-547.1189557313764
215,-547.11899820277
216,-547.1190398907861
217,-547.1190808053466
218,-547.1191209564265
219,-547.1191603540503
220,-547.1191990082799
221,-547.1192369292075
222,-547.1192741269484
223,-547.1193106116327
224,-547.1193463933978
225,-547.1193814823824
226,-547.1194158887184
227,-547.1194496225229
228,-547.119482693897
