step,energy
0,-546.284809318119
1,-546.2875389040693
2,-546.2902002848626
3,-546.2927897704841
4,-546.2953042304629
5,-546.2977410880891
6,-546.3000983075757
7,-546.3023743750557
8,-546.3045682743912
9,-546.3066794587377
10,-546.3087078188167
11,-546.3106536488079
12,-546.3125176106536
13,-546.3143006975907
14,-546.3160041975378
15,-546.3176296569559
16,-546.319178845657
17,-546.3206537229905
18,-546.3220564057143
19,-546.3233891378088
20,-546.3246542624161
21,-546.3258541959952
22,-546.3269914047838
23,-546.3280683835427
24,-546.3290876365671
25,-546.3300516609096
26,-546.3309629317024
27,-546.3318238894888
28,-546.3326369294196
29,-546.3334043922023
30,-546.3341285566386
31,-546.3348116336273
32,-546.3354557614842
33,-546.3360630024331
34,-546.336635340155
35,-546.3371746782532
36,-546.3376828395204
37,-546.3381615659046
38,-546.3386125190632
39,-546.3390372814205
40,-546.3394373576441
41,-546.339814176459
42,-546.3401690927356
43,-546.3405033898081
44,-546.340818281927
45,-546.341114916863
46,-546.3413943785647
47,-546.3416576898754
48,-546.3419058152507
49,-546.3421396634843
50,-546.3423600903935
51,-546.3425679014608
52,-546.3427638544174
53,-546.342948661761
54,-546.3431229931829
55,-546.343287477924
56,-546.3434427070314
57,-546.3435892355304
58,-546.3437275844955
59,-546.343858243033
60,-546.3439816701616
61,-546.3440982966133
62,-546.3442085265261
63,-546.3443127390616
64,-546.344411289925
65,-546.3445045128116
66,-546.3445927207633
67,-546.3446762074509
68,-546.3447552483857
69,-546.3448301020519
70,-546.3449010109789
71,-546.3449682027491
72,-546.3450318909343
73,-546.3450922759848
74,-546.3451495460683
75,-546.345203877836
76,-546.3452554371625
77,-546.3453043798265
78,-546.3453508521541
79,-546.3453949916171
80,-546.345436927394
81,-546.3454767809002
82,-546.3455146662758
83,-546.3455506908504
84,-546.3455849555673
85,-546.3456175553912
86,-546.3456485796866
87,-546.3456781125649
88,-546.3457062332171
89,-546.345733016221
90,-546.3457585318299
91,-546.3457828462407
92,-546.3458060218454
93,-546.3458281174733
94,-546.345849188598
95,-546.3458692875562
96,-546.3458884637367
97,-546.3459067637543
98,-546.3459242316251
99,-546.3459409089276
100,-546.3459568349367
101,-546.3459720467795
102,-546.3459865795483
103,-546.3460004664325
104,-546.3460137388287
105,-546.3460264264452
