step,energy
0,-546.4539206912432
1,-546.7651293739941
2,-547.041736728731
3,-547.2767949412673
4,-547.4582953917811
5,-547.5952129257583
6,-547.7037561399108
7,-547.7962996011142
8,-547.880866188104
9,-547.9619665375394
10,-548.0411848940113
11,-548.1178107072739
12,-548.189700464767
13,-548.2543713250977
14,-548.3100112152262
15,-548.355999777949
16,-548.3928316301291
17,-548.4216901942104
18,-548.4439984113337
19,-548.4611196023933
20,-548.4742204101548
21,-548.4842399670588
22,-548.4919098669241
23,-548.4977906607727
24,-548.5023086847565
25,-548.505787417467
26,-548.508472325124
27,-548.5105499121318
28,-548.5121621235937
29,-548.5134171814844
30,-548.5143977349954
31,-548.515167001138
32,-548.5157734022442
33,-548.5162540770033
34,-548.5166375447747
35,-548.5169457315749
36,-548.5171955133799
37,-548.5173998936509
38,-548.5175689029942
39,-548.5177102874491
40,-548.5178300356059
41,-548.5179327827967
42,-548.5180221213004
43,-548.5181008386749
44,-548.5181711010182
45,-548.5182345940472
46,-548.5182926317642
47,-548.5183462402694
48,-548.5183962224344
49,-548.5184432078628
50,-548.5184876915278
51,-548.5185300636582
52,-548.5185706329044
53,-548.518609644284
54,-548.5186472931266
55,-548.518683735891
56,-548.5187190985781
57,-548.5187534832936
58,-548.518786973345
59,-548.5188196372309
60,-548.5188515317503
61,-548.5188827044401
62,-548.5189131954747
63,-548.5189430391591
64,-548.5189722651103
65,-548.5190008991797
66,-548.5190289641685
67,-548.5190564804168
68,-548.5190834662515
69,-548.5191099383377
70,-548.5191359119822
71,-548.519161401345
72,-548.5191864196304
73,-548.5192109792273
74,-548.519235091829
75,-548.5192587685292
76,-548.5192820198914
77,-548.5193048560207
78,-548.5193272866084
79,-548.5193493209733
80,-548.5193709681007
81,-548.5193922366682
82,-548.5194131350701
83,-548.5194336714429
84,-548.5194538536679
85,-548.51947368941
86,-548.5194931861053
87,-548.5195123509918
88,-548.519531191106
89,-548.5195497133059
90,-548.5195679242629
91,-548.5195858304786
92,-548.5196034382926
93,-548.5196207538855
94,-548.5196377832794
95,-548.5196545323553
96,-548.5196710068458
97,-548.5196872123439
98,-548.5197031543154
99,-548.5197188380872
100,-548.5197342688659
101,-548.5197494517304
102,-548.5197643916438
103,-548.5197790934526
104,-548.5197935618886
105,-548.5198078015741
106,-548.5198218170275
107,-548.5198356126606
108,-548.5198491927858
109,-548.5198625616146
110,-548.5198757232685
111,-548.5198886817678
112,-548.5199014410496
113,-548.5199140049564
114,-548.5199263772464
115,-548.5199385615971
116,-548.5199505616002
117,-548.5199623807673
118,-548.5199740225363
119,-548.5199854902642
120,-548.5199967872381
121,-548.5200079166713
122,-548.5200188817072
123,-548.520029685421
124,-548.5200403308183
125,-548.5200508208447
126,-548.5200611583778
127,-548.5200713462337
128,-548.5200813871693
129,-548.5200912838817
130,-548.52010103901
131,-548.5201106551414
132,-548.5201201348005
133,-548.5201294804637
134,-548.520138694553
135,-548.5201477794387
